ID,TIMESTAMP,ORD_NUM,BuyerId,Product
1,"2021-11-25 15:43:00",ORD196893105,1,Sweatpants
2,"2021-11-27 15:38:00",ORD107893105,6,Tracksuits
3,"2021-11-27 16:21:00",ORD117893105,3,"Tank Tops"
4,"2021-12-01 14:15:00",ORD197893105,3,"Dress Shirts"
5,"2021-12-02 12:37:00",ORD148893105,5,"Dress Shirts"
6,"2021-12-03 10:17:00",ORD178893105,7,Rompers
7,"2021-12-05 15:32:00",ORD188893105,2,"Cargo Pants"
8,"2021-12-09 12:16:00",ORD198893105,2,T-Shirts
9,"2021-12-09 12:39:00",ORD109893105,7,Skirts
10,"2021-12-09 17:37:00",ORD129893105,7,"Capri Pants"
11,"2021-12-09 17:37:00",ORD139893105,3,Bikinis
12,"2021-12-09 17:39:00",ORD159893105,6,"Mini Skirts"
13,"2021-12-09 17:39:00",ORD179893105,3,Cardigans
14,"2021-12-10 11:13:00",ORD100804105,3,Chinos
15,"2021-12-10 12:11:00",ORD110804105,3,"Tank Tops"
16,"2021-12-10 12:12:00",ORD120804105,3,"Pleated Skirts"
17,"2021-12-10 12:31:00",ORD130804105,1,"Bodycon Dresses"
18,"2021-12-10 12:32:00",ORD140804105,4,"Crop Tops"
19,"2021-12-10 12:33:00",ORD150804105,4,Nightwear
20,"2021-12-10 12:33:00",ORD160804105,1,Dresses
21,"2021-12-10 12:34:00",ORD170804105,1,Jumpsuits
22,"2021-12-10 12:34:00",ORD180804105,4,"Pleated Skirts"
23,"2021-12-10 12:35:00",ORD190804105,5,"Polo Shirts"
24,"2021-12-10 12:35:00",ORD101804105,4,Socks
25,"2021-12-11 15:52:00",ORD151804105,6,Boardshorts
26,"2021-12-11 15:53:00",ORD161804105,6,Coats
27,"2021-12-11 15:58:00",ORD112804105,2,"Pleated Skirts"
28,"2021-12-11 17:26:00",ORD152804105,4,Socks
29,"2021-12-11 17:53:00",ORD162804105,6,Swimwear
30,"2021-12-11 17:54:00",ORD182804105,4,Sweatpants
